x-axis,F1
Hertz,dBV
+0.0E+00,-73.27026E+00
+19.01E+00,-37.54761E+00
+38.02E+00,-29.49829E+00
+57.03E+00,-24.36890E+00
+76.05E+00,-21.31470E+00
+95.06E+00,-20.03540E+00
+114.07E+00,-20.52124E+00
+133.08E+00,-22.84058E+00
+152.09E+00,-26.90552E+00
+171.10E+00,-29.20288E+00
+190.11E+00,-27.80396E+00
+209.13E+00,-27.43530E+00
+228.14E+00,-29.00513E+00
+247.15E+00,-32.70874E+00
+266.16E+00,-39.07349E+00
+285.17E+00,-51.16089E+00
+304.18E+00,-56.74683E+00
+323.19E+00,-54.18823E+00
+342.21E+00,-49.54956E+00
+361.22E+00,-45.11353E+00
+380.23E+00,-42.64038E+00
+399.24E+00,-41.99341E+00
+418.25E+00,-42.77710E+00
+437.26E+00,-45.33081E+00
+456.27E+00,-49.94263E+00
+475.29E+00,-58.36548E+00
+494.30E+00,-64.91333E+00
+513.31E+00,-62.48169E+00
+532.32E+00,-59.59839E+00
+551.33E+00,-55.34302E+00
+570.34E+00,-52.05200E+00
+589.35E+00,-50.59937E+00
+608.37E+00,-50.56519E+00
+627.38E+00,-52.16187E+00
+646.39E+00,-55.60425E+00
+665.40E+00,-61.83472E+00
+684.41E+00,-68.87329E+00
+703.42E+00,-67.73315E+00
+722.43E+00,-66.40991E+00
+741.44E+00,-63.14087E+00
+760.46E+00,-59.60815E+00
+779.47E+00,-57.33521E+00
+798.48E+00,-56.57837E+00
+817.49E+00,-57.35229E+00
+836.50E+00,-59.73755E+00
+855.51E+00,-64.26636E+00
+874.52E+00,-70.46021E+00
+893.54E+00,-71.14624E+00
+912.55E+00,-70.67017E+00
+931.56E+00,-68.87085E+00
+950.57E+00,-66.10229E+00
+969.58E+00,-63.34351E+00
+988.59E+00,-61.89331E+00
+1.00760E+03,-61.78589E+00
+1.02662E+03,-63.33862E+00
+1.04563E+03,-66.61011E+00
+1.06464E+03,-71.97144E+00
+1.08365E+03,-74.68140E+00
+1.10266E+03,-74.86938E+00
+1.12167E+03,-73.58032E+00
+1.14068E+03,-71.63696E+00
+1.15970E+03,-68.51440E+00
+1.17871E+03,-66.49780E+00
+1.19772E+03,-65.63354E+00
+1.21673E+03,-66.40015E+00
+1.23574E+03,-68.65845E+00
+1.25475E+03,-73.07983E+00
+1.27376E+03,-76.10962E+00
+1.29278E+03,-76.60278E+00
+1.31179E+03,-76.23169E+00
+1.33080E+03,-76.24634E+00
+1.34981E+03,-73.88550E+00
+1.36882E+03,-71.66138E+00
+1.38783E+03,-69.92798E+00
+1.40684E+03,-70.00610E+00
+1.42586E+03,-71.00952E+00
+1.44487E+03,-74.35425E+00
+1.46388E+03,-77.67212E+00
+1.48289E+03,-79.49829E+00
+1.50190E+03,-78.85132E+00
+1.52091E+03,-78.48755E+00
+1.53992E+03,-76.81030E+00
+1.55894E+03,-74.85718E+00
+1.57795E+03,-72.81128E+00
+1.59696E+03,-72.32056E+00
+1.61597E+03,-72.73560E+00
+1.63498E+03,-75.13550E+00
+1.65399E+03,-77.67212E+00
+1.67300E+03,-79.67163E+00
+1.69202E+03,-79.86694E+00
+1.71103E+03,-79.52026E+00
+1.73004E+03,-79.35181E+00
+1.74905E+03,-78.92700E+00
+1.76806E+03,-77.13989E+00
+1.78707E+03,-76.29761E+00
+1.80608E+03,-76.01685E+00
+1.82510E+03,-77.71118E+00
+1.84411E+03,-80.32104E+00
+1.86312E+03,-82.67212E+00
+1.88213E+03,-83.71216E+00
+1.90114E+03,-82.74780E+00
+1.92015E+03,-83.36792E+00
+1.93916E+03,-82.89917E+00
