x-axis,F1
Hertz,dBV
+0.0E+00,-68.97827E+00
+50.00E+00,-84.79858E+00
+100.00E+00,-94.32007E+00
+150.00E+00,-94.02466E+00
+200.00E+00,-99.10767E+00
+250.00E+00,-101.45386E+00
+300.00E+00,-101.22681E+00
+350.00E+00,-93.49243E+00
+400.00E+00,-89.94507E+00
+450.00E+00,-104.75464E+00
+500.00E+00,-98.37769E+00
+550.00E+00,-99.66431E+00
+600.00E+00,-82.09351E+00
+650.00E+00,-96.23413E+00
+700.00E+00,-98.98071E+00
+750.00E+00,-99.00757E+00
+800.00E+00,-104.36890E+00
+850.00E+00,-102.83813E+00
+900.00E+00,-92.93579E+00
+950.00E+00,-78.75366E+00
+1.00000E+03,-19.80347E+00
+1.05000E+03,-75.05981E+00
+1.10000E+03,-92.60864E+00
+1.15000E+03,-98.40454E+00
+1.20000E+03,-114.73022E+00
+1.25000E+03,-98.55103E+00
+1.30000E+03,-97.88208E+00
+1.35000E+03,-99.11011E+00
+1.40000E+03,-85.86060E+00
+1.45000E+03,-100.54565E+00
+1.50000E+03,-103.58276E+00
+1.55000E+03,-97.07153E+00
+1.60000E+03,-86.91284E+00
+1.65000E+03,-95.20386E+00
+1.70000E+03,-102.53540E+00
+1.75000E+03,-104.47876E+00
+1.80000E+03,-105.38452E+00
+1.85000E+03,-97.55493E+00
+1.90000E+03,-106.60767E+00
+1.95000E+03,-103.50220E+00
+2.00000E+03,-73.92944E+00
+2.05000E+03,-98.87573E+00
+2.10000E+03,-105.98755E+00
+2.15000E+03,-101.64917E+00
+2.20000E+03,-97.77222E+00
+2.25000E+03,-98.50708E+00
+2.30000E+03,-117.43286E+00
+2.35000E+03,-112.91870E+00
+2.40000E+03,-90.85327E+00
+2.45000E+03,-111.56616E+00
+2.50000E+03,-99.13208E+00
+2.55000E+03,-111.80542E+00
+2.60000E+03,-82.15210E+00
+2.65000E+03,-101.76880E+00
+2.70000E+03,-101.51001E+00
+2.75000E+03,-100.53833E+00
+2.80000E+03,-100.88745E+00
+2.85000E+03,-100.12573E+00
+2.90000E+03,-93.00415E+00
+2.95000E+03,-85.70679E+00
+3.00000E+03,-30.16724E+00
+3.05000E+03,-81.44409E+00
+3.10000E+03,-104.64233E+00
+3.15000E+03,-107.00317E+00
+3.20000E+03,-99.71069E+00
+3.25000E+03,-96.95435E+00
+3.30000E+03,-95.38696E+00
+3.35000E+03,-98.93677E+00
+3.40000E+03,-88.43140E+00
+3.45000E+03,-101.92505E+00
+3.50000E+03,-112.70142E+00
+3.55000E+03,-104.79614E+00
+3.60000E+03,-86.21948E+00
+3.65000E+03,-109.87183E+00
+3.70000E+03,-115.92896E+00
+3.75000E+03,-98.37524E+00
+3.80000E+03,-108.08472E+00
+3.85000E+03,-111.01685E+00
+3.90000E+03,-105.50659E+00
+3.95000E+03,-99.31030E+00
+4.00000E+03,-72.60864E+00
+4.05000E+03,-98.41187E+00
+4.10000E+03,-97.48169E+00
+4.15000E+03,-108.78052E+00
+4.20000E+03,-96.21948E+00
+4.25000E+03,-107.64526E+00
+4.30000E+03,-97.48413E+00
+4.35000E+03,-95.50903E+00
+4.40000E+03,-91.60278E+00
+4.45000E+03,-98.63159E+00
+4.50000E+03,-103.65845E+00
+4.55000E+03,-98.34595E+00
+4.60000E+03,-82.69897E+00
+4.65000E+03,-101.10229E+00
+4.70000E+03,-105.64575E+00
+4.75000E+03,-92.60376E+00
+4.80000E+03,-109.90601E+00
+4.85000E+03,-98.20435E+00
+4.90000E+03,-99.87183E+00
+4.95000E+03,-92.46704E+00
+5.00000E+03,-35.91187E+00
+5.05000E+03,-82.74536E+00
+5.10000E+03,-95.84595E+00
+5.15000E+03,-104.64966E+00
+5.20000E+03,-94.18091E+00
+5.25000E+03,-111.04858E+00
+5.30000E+03,-99.76196E+00
+5.35000E+03,-106.53931E+00
+5.40000E+03,-93.06274E+00
+5.45000E+03,-100.32837E+00
+5.50000E+03,-101.82739E+00
+5.55000E+03,-102.90161E+00
+5.60000E+03,-87.12036E+00
+5.65000E+03,-99.99146E+00
+5.70000E+03,-103.27026E+00
+5.75000E+03,-98.84399E+00
+5.80000E+03,-103.00171E+00
+5.85000E+03,-107.78687E+00
+5.90000E+03,-105.03784E+00
+5.95000E+03,-99.45435E+00
+6.00000E+03,-74.05151E+00
+6.05000E+03,-111.85669E+00
+6.10000E+03,-94.21021E+00
+6.15000E+03,-100.11353E+00
