x-axis,F1
Hertz,dBV
+0.0E+00,-69.57886E+00
+50.00E+00,-91.55151E+00
+100.00E+00,-96.04370E+00
+150.00E+00,-93.96606E+00
+200.00E+00,-99.70825E+00
+250.00E+00,-101.22192E+00
+300.00E+00,-93.18970E+00
+350.00E+00,-108.94409E+00
+400.00E+00,-85.47241E+00
+450.00E+00,-106.79810E+00
+500.00E+00,-121.02905E+00
+550.00E+00,-101.65649E+00
+600.00E+00,-79.12964E+00
+650.00E+00,-99.10522E+00
+700.00E+00,-104.25659E+00
+750.00E+00,-106.88843E+00
+800.00E+00,-111.18286E+00
+850.00E+00,-98.01636E+00
+900.00E+00,-96.66626E+00
+950.00E+00,-77.41577E+00
+1.00000E+03,-18.63892E+00
+1.05000E+03,-73.84399E+00
+1.10000E+03,-91.81763E+00
+1.15000E+03,-105.28198E+00
+1.20000E+03,-94.26392E+00
+1.25000E+03,-99.73022E+00
+1.30000E+03,-120.31372E+00
+1.35000E+03,-97.50610E+00
+1.40000E+03,-82.07153E+00
+1.45000E+03,-97.69897E+00
+1.50000E+03,-103.25317E+00
+1.55000E+03,-96.41479E+00
+1.60000E+03,-81.23413E+00
+1.65000E+03,-107.15210E+00
+1.70000E+03,-100.12817E+00
+1.75000E+03,-95.03540E+00
+1.80000E+03,-106.98120E+00
+1.85000E+03,-96.83228E+00
+1.90000E+03,-101.58081E+00
+1.95000E+03,-98.33618E+00
+2.00000E+03,-69.79858E+00
+2.05000E+03,-117.31079E+00
+2.10000E+03,-103.24829E+00
+2.15000E+03,-97.52563E+00
+2.20000E+03,-99.33472E+00
+2.25000E+03,-101.90796E+00
+2.30000E+03,-99.38354E+00
+2.35000E+03,-104.81079E+00
+2.40000E+03,-85.71411E+00
+2.45000E+03,-98.63159E+00
+2.50000E+03,-101.56128E+00
+2.55000E+03,-100.82397E+00
+2.60000E+03,-77.75757E+00
+2.65000E+03,-98.39966E+00
+2.70000E+03,-107.94800E+00
+2.75000E+03,-96.93237E+00
