x-axis,F1
Hertz,dBV
+8.85000E+03,-112.32544E+00
+8.90000E+03,-100.86548E+00
+8.95000E+03,-107.98218E+00
+9.00000E+03,-53.11401E+00
+9.05000E+03,-96.08276E+00
+9.10000E+03,-120.55298E+00
+9.15000E+03,-102.38647E+00
+9.20000E+03,-97.60132E+00
+9.25000E+03,-108.54370E+00
+9.30000E+03,-101.60278E+00
+9.35000E+03,-102.40601E+00
+9.40000E+03,-99.02466E+00
+9.45000E+03,-99.47388E+00
+9.50000E+03,-99.03442E+00
+9.55000E+03,-102.33765E+00
+9.60000E+03,-96.13403E+00
+9.65000E+03,-96.09985E+00
+9.70000E+03,-107.79175E+00
+9.75000E+03,-99.05884E+00
+9.80000E+03,-102.67212E+00
+9.85000E+03,-110.57495E+00
+9.90000E+03,-98.59253E+00
+9.95000E+03,-103.13110E+00
+10.00000E+03,-94.18091E+00
+10.05000E+03,-101.69556E+00
+10.10000E+03,-109.15405E+00
+10.15000E+03,-103.74878E+00
+10.20000E+03,-96.09253E+00
+10.25000E+03,-99.56421E+00
+10.30000E+03,-103.44604E+00
+10.35000E+03,-103.72192E+00
+10.40000E+03,-109.00513E+00
+10.45000E+03,-105.61646E+00
+10.50000E+03,-103.76343E+00
+10.55000E+03,-109.07349E+00
+10.60000E+03,-90.67749E+00
+10.65000E+03,-99.46411E+00
+10.70000E+03,-96.55151E+00
+10.75000E+03,-108.44360E+00
+10.80000E+03,-96.95435E+00
+10.85000E+03,-103.84888E+00
+10.90000E+03,-112.83813E+00
+10.95000E+03,-100.65308E+00
+11.00000E+03,-59.61792E+00
+11.05000E+03,-91.62476E+00
+11.10000E+03,-103.58765E+00
+11.15000E+03,-101.95190E+00
+11.20000E+03,-100.30884E+00
+11.25000E+03,-99.68628E+00
+11.30000E+03,-101.03638E+00
+11.35000E+03,-101.13647E+00
+11.40000E+03,-103.71948E+00
+11.45000E+03,-97.12280E+00
+11.50000E+03,-97.64282E+00
+11.55000E+03,-109.96460E+00
+11.60000E+03,-96.36841E+00
+11.65000E+03,-110.88745E+00
+11.70000E+03,-95.87524E+00
+11.75000E+03,-117.42310E+00
+11.80000E+03,-100.41382E+00
+11.85000E+03,-101.48804E+00
+11.90000E+03,-99.28345E+00
