x-axis,F1
Hertz,dBV
+0.0E+00,-37.04321E+00
+762.2E+00,-36.41089E+00
+1.5244E+03,-40.99829E+00
+2.2866E+03,-43.77417E+00
+3.0488E+03,-48.46655E+00
+3.8110E+03,-54.25513E+00
+4.5732E+03,-68.31030E+00
+5.3354E+03,-48.47144E+00
+6.0976E+03,-60.46606E+00
+6.8598E+03,-57.32153E+00
+7.6220E+03,-48.72290E+00
+8.3841E+03,-63.08569E+00
+9.1463E+03,-48.77417E+00
+9.9085E+03,-45.17798E+00
+10.6707E+03,-55.52710E+00
+11.4329E+03,-42.41431E+00
+12.1951E+03,-42.78540E+00
+12.9573E+03,-43.01489E+00
+13.7195E+03,-34.07690E+00
+14.4817E+03,-38.78638E+00
+15.2439E+03,-30.60034E+00
+16.0061E+03,-23.89380E+00
+16.7683E+03,-40.01440E+00
+17.5305E+03,-13.14185E+00
+18.2927E+03,-3.14673E+00
+19.0549E+03,+2.51733E+00
+19.8171E+03,+5.86206E+00
+20.5793E+03,+7.48071E+00
+21.3415E+03,+7.55640E+00
+22.1037E+03,+6.10620E+00
+22.8659E+03,+2.95923E+00
+23.6280E+03,-2.40210E+00
+24.3902E+03,-11.57935E+00
+25.1524E+03,-55.20483E+00
+25.9146E+03,-24.83618E+00
+26.6768E+03,-29.78735E+00
+27.4390E+03,-40.30249E+00
+28.2012E+03,-34.05737E+00
+28.9634E+03,-42.72192E+00
+29.7256E+03,-44.00366E+00
+30.4878E+03,-41.67944E+00
+31.2500E+03,-58.51538E+00
+32.0122E+03,-47.69507E+00
+32.7744E+03,-47.56323E+00
+33.5366E+03,-62.76343E+00
+34.2988E+03,-51.58179E+00
+35.0610E+03,-52.93433E+00
+35.8232E+03,-60.49536E+00
+36.5854E+03,-57.20190E+00
+37.3476E+03,-65.14136E+00
+38.1098E+03,-55.99585E+00
+38.8720E+03,-51.39380E+00
+39.6341E+03,-45.96655E+00
+40.3963E+03,-42.72192E+00
+41.1585E+03,-39.81909E+00
+41.9207E+03,-38.97681E+00
+42.6829E+03,-39.24780E+00
+43.4451E+03,-41.78687E+00
+44.2073E+03,-45.62964E+00
+44.9695E+03,-53.25415E+00
+45.7317E+03,-63.09302E+00
+46.4939E+03,-65.92261E+00
+47.2561E+03,-66.04224E+00
+48.0183E+03,-62.40942E+00
+48.7805E+03,-69.71411E+00
+49.5427E+03,-61.62573E+00
+50.3049E+03,-64.31128E+00
+51.0671E+03,-60.23901E+00
+51.8293E+03,-59.23560E+00
+52.5915E+03,-66.07397E+00
+53.3537E+03,-53.18091E+00
+54.1159E+03,-52.95630E+00
+54.8780E+03,-57.79028E+00
+55.6402E+03,-46.20337E+00
+56.4024E+03,-49.58472E+00
+57.1646E+03,-42.61938E+00
+57.9268E+03,-34.98755E+00
+58.6890E+03,-45.88354E+00
+59.4512E+03,-25.66382E+00
+60.2134E+03,-14.74097E+00
+60.9756E+03,-8.71558E+00
+61.7378E+03,-5.14136E+00
+62.5000E+03,-3.34692E+00
+63.2622E+03,-3.11743E+00
+64.0244E+03,-4.41382E+00
+64.7866E+03,-7.37769E+00
+65.5488E+03,-12.49243E+00
+66.3110E+03,-21.20337E+00
+67.0732E+03,-55.21704E+00
+67.8354E+03,-36.38159E+00
+68.5976E+03,-39.16235E+00
+69.3598E+03,-51.81372E+00
+70.1220E+03,-45.54175E+00
+70.8841E+03,-52.10669E+00
+71.6463E+03,-53.47632E+00
+72.4085E+03,-52.11157E+00
+73.1707E+03,-63.11499E+00
+73.9329E+03,-57.93188E+00
+74.6951E+03,-58.18335E+00
+75.4573E+03,-75.09741E+00
+76.2195E+03,-62.43140E+00
+76.9817E+03,-65.22192E+00
+77.7439E+03,-74.03296E+00
+78.5061E+03,-62.63159E+00
+79.2683E+03,-66.98218E+00
+80.0305E+03,-67.42896E+00
+80.7927E+03,-56.96997E+00
+81.5549E+03,-50.69800E+00
+82.3171E+03,-45.50024E+00
+83.0793E+03,-42.93921E+00
+83.8415E+03,-41.45972E+00
+84.6037E+03,-42.07739E+00
+85.3659E+03,-43.93042E+00
+86.1280E+03,-48.20532E+00
+86.8902E+03,-54.00854E+00
+87.6524E+03,-69.01343E+00
+88.4146E+03,-75.53931E+00
+89.1768E+03,-66.36206E+00
+89.9390E+03,-68.75220E+00
+90.7012E+03,-73.98657E+00
+91.4634E+03,-71.43530E+00
+92.2256E+03,-75.81519E+00
+92.9878E+03,-68.10034E+00
+93.7500E+03,-62.90503E+00
+94.5122E+03,-78.83521E+00
+95.2744E+03,-61.69409E+00
+96.0366E+03,-58.31763E+00
+96.7988E+03,-60.87866E+00
+97.5610E+03,-51.84058E+00
+98.3232E+03,-53.12720E+00
+99.0854E+03,-49.34790E+00
+99.8476E+03,-41.48169E+00
+100.6098E+03,-48.95239E+00
+101.3720E+03,-32.76587E+00
+102.1341E+03,-21.28394E+00
+102.8963E+03,-14.88257E+00
+103.6585E+03,-11.08374E+00
+104.4207E+03,-9.12329E+00
+105.1829E+03,-8.73022E+00
+105.9451E+03,-9.86304E+00
+106.7073E+03,-12.65356E+00
+107.4695E+03,-17.53882E+00
+108.2317E+03,-25.84937E+00
+108.9939E+03,-51.54761E+00
+109.7561E+03,-41.94312E+00
+110.5183E+03,-43.77173E+00
+111.2805E+03,-60.88599E+00
+112.0427E+03,-52.50708E+00
+112.8049E+03,-57.62183E+00
+113.5671E+03,-59.42114E+00
+114.3293E+03,-56.92603E+00
+115.0915E+03,-67.76099E+00
+115.8537E+03,-65.43433E+00
+116.6159E+03,-65.10718E+00
+117.3780E+03,-70.82983E+00
+118.1402E+03,-63.60327E+00
+118.9024E+03,-62.19702E+00
+119.6646E+03,-68.72046E+00
+120.4268E+03,-73.11987E+00
+121.1890E+03,-67.94653E+00
+121.9512E+03,-67.18481E+00
+122.7134E+03,-60.59058E+00
+123.4756E+03,-53.00513E+00
+124.2378E+03,-48.30054E+00
+125.0000E+03,-45.00952E+00
+125.7622E+03,-43.72046E+00
+126.5244E+03,-43.67896E+00
+127.2866E+03,-45.59058E+00
+128.0488E+03,-48.84741E+00
+128.8110E+03,-54.77515E+00
+129.5732E+03,-62.01392E+00
+130.3354E+03,-70.50269E+00
+131.0976E+03,-70.52710E+00
+131.8598E+03,-70.99097E+00
+132.6220E+03,-81.75757E+00
+133.3841E+03,-72.47046E+00
+134.1463E+03,-74.77515E+00
+134.9085E+03,-69.16724E+00
+135.6707E+03,-65.19995E+00
+136.4329E+03,-70.95435E+00
+137.1951E+03,-66.38159E+00
+137.9573E+03,-63.02222E+00
+138.7195E+03,-66.93335E+00
+139.4817E+03,-57.08472E+00
+140.2439E+03,-57.37280E+00
+141.0061E+03,-53.43970E+00
+141.7683E+03,-45.49780E+00
+142.5305E+03,-49.44800E+00
+143.2927E+03,-37.97827E+00
+144.0549E+03,-26.34253E+00
+144.8171E+03,-19.45288E+00
+145.5793E+03,-15.40747E+00
+146.3415E+03,-13.26392E+00
+147.1037E+03,-12.71460E+00
+147.8659E+03,-13.68872E+00
+148.6280E+03,-16.28638E+00
+149.3902E+03,-20.91284E+00
+150.1524E+03,-28.73267E+00
+150.9146E+03,-48.90356E+00
+151.6768E+03,-45.85425E+00
+152.4390E+03,-47.36548E+00
+153.2012E+03,-63.31030E+00
+153.9634E+03,-57.00659E+00
+154.7256E+03,-60.33423E+00
+155.4878E+03,-62.45825E+00
+156.2500E+03,-60.41235E+00
+157.0122E+03,-66.36694E+00
+157.7744E+03,-67.85376E+00
+158.5366E+03,-67.22632E+00
+159.2988E+03,-71.37427E+00
+160.0610E+03,-69.10864E+00
+160.8232E+03,-68.11743E+00
+161.5854E+03,-73.82300E+00
+162.3476E+03,-70.49292E+00
+163.1098E+03,-72.34595E+00
+163.8720E+03,-76.11304E+00
+164.6341E+03,-66.17651E+00
+165.3963E+03,-57.18726E+00
+166.1585E+03,-51.27417E+00
+166.9207E+03,-47.88306E+00
+167.6829E+03,-46.07397E+00
+168.4451E+03,-46.14233E+00
+169.2073E+03,-47.68774E+00
+169.9695E+03,-51.48169E+00
+170.7317E+03,-57.58032E+00
+171.4939E+03,-74.10132E+00
+172.2561E+03,-74.54565E+00
+173.0183E+03,-70.45142E+00
+173.7805E+03,-84.33081E+00
+174.5427E+03,-76.84058E+00
+175.3049E+03,-67.88306E+00
+176.0671E+03,-68.81567E+00
+176.8293E+03,-68.35425E+00
+177.5915E+03,-67.27759E+00
+178.3537E+03,-70.15112E+00
+179.1159E+03,-73.17358E+00
+179.8780E+03,-70.96167E+00
+180.6402E+03,-66.39380E+00
+181.4024E+03,-58.56909E+00
+182.1646E+03,-57.41431E+00
+182.9268E+03,-57.73413E+00
+183.6890E+03,-49.96069E+00
+184.4512E+03,-51.81616E+00
+185.2134E+03,-42.06030E+00
+185.9756E+03,-30.24146E+00
+186.7378E+03,-22.94653E+00
+187.5000E+03,-18.66919E+00
+188.2622E+03,-16.34497E+00
+189.0244E+03,-15.62964E+00
+189.7866E+03,-16.43774E+00
+190.5488E+03,-18.87671E+00
+191.3110E+03,-23.27368E+00
+192.0732E+03,-30.68823E+00
+192.8354E+03,-48.24927E+00
+193.5976E+03,-48.44214E+00
+194.3598E+03,-49.58472E+00
+195.1220E+03,-71.48413E+00
+195.8841E+03,-62.25806E+00
+196.6463E+03,-60.71509E+00
+197.4085E+03,-69.30640E+00
+198.1707E+03,-66.68677E+00
+198.9329E+03,-70.99097E+00
+199.6951E+03,-71.88452E+00
+200.4573E+03,-70.67114E+00
+201.2195E+03,-75.15845E+00
+201.9817E+03,-70.35132E+00
